PROLIFIC_PID,treatment,age,sex,ethnicity,score,num_completed
5a2dc611390d120001c70ac2,1,30,Male,White,3,3
60ee0f0b0ca1228dcc67a0bd,1,34,Female,DATA_EXPIRED,3,3
63278a792e28fb75e03fb2a5,1,24,Male,Asian,4,4
6108767c9bec77d0e42e3c44,1,23,Female,White,2,3
5a6fa677c2eb6c00017e042e,1,27,Male,Asian,4,4
5bb7d50b94519e0001c5a095,1,42,Female,White,0,1
5e718c86686c0c0b7759f340,1,22,Male,White,3,4
574b79285e549100063c292e,1,DATA_EXPIRED,Male,White,4,5
61144d0fac78f98ad263c52a,1,20,Female,White,1,1
627f448165ed9095fd43cfd1,1,49,Male,White,4,4
5c2c62542c45d400014a32e6,1,28,Male,Asian,3,5
6340ee0c1c71d2691d57fc41,1,22,Male,Other,2,3
61194d67cf13024bcdf7c246,1,19,Male,White,5,5
5c3630c83ce2c8000111b504,1,64,Female,White,4,5
61006a149d1a80f1976dba98,1,22,Female,White,3,4
5b47b4257356580001f34fc3,1,31,Male,White,2,4
6334edaa3705377cb47d74d5,1,60,Female,White,4,5
5589c7cefdf99b18bd86cf31,1,39,Male,White,4,4
61646d6e4b80050f00b2485f,1,23,Male,White,2,2
55e7c36c41988f001275d752,1,54,Female,White,2,2
55fb068b77f33b0005cb1efc,1,31,Female,Mixed,3,3
60da65c630ff4389c297b03c,1,32,Male,White,2,4
627e806c3aed88dec8b99815,1,53,Male,White,0,5
60fcd2732f224ad841d9677d,1,33,Female,White,2,2
59d9d9cd8fd07a0001842484,1,28,Male,Mixed,3,4
6121be9a77c602b1d877d7f0,1,29,Female,White,1,2
5f244e0d0d7f44018faa3938,1,35,Female,White,3,3
5de96ccf7aeafe09d7e8a74a,1,54,Male,Mixed,0,5
5d3695969749cc00165c222f,1,27,Male,White,4,4
5cd1a619240bc80013310b4e,1,48,Female,White,2,4
6119f072d0cc4321ea520759,1,23,Male,Asian,1,2
5df82e8739bcde5dd044f741,1,34,Male,White,2,3
60b9af795939f976cb74232a,1,45,Male,White,4,5
62c9bf590412b579266d4477,1,27,Male,White,3,3
5e52d0122f5f952f2a7b6b28,1,38,Male,Mixed,2,2
5e39d872793a082024d9cf18,1,41,Male,White,3,3
5d4a41890e604c00011ade8b,1,26,Male,Asian,3,3
613fda883d650eff1765cd31,1,28,Male,White,5,5
